Author,Text,User Location,Country_Code,Tweet Country,created_at,Emotion
nicoalameh, _tx: We just announced that the Philippines has secured 7 million additional doses of our COVID-19 vaccine through a new supply…,Araby,None,None,2021-03-23 10:45:38,0
RefugeesUganda," : Thanks to the , , refugees like Samuel Kwai, a nurse at Koro Health Centre, Bidibidi refugee sett…","Sir Apollo Kagwa Road, Old Kla",None,None,2021-03-23 10:45:38,2
Sunfly111," : Exclusive: Care home staff to face compulsory Covid vaccination.
Write your MP. 
The COVID-19 vaccines DO NOT STOP TRANSMISSION…",,None,None,2021-03-23 10:45:39,2
honeybe02577966," : Situation at The Medical City.

Hospital has declared full capacity for COVID-19 patients. All 120 beds reserved for patient…","Dubai, United Arab Emirates",None,None,2021-03-23 10:45:39,2
50Billionz," : Female Hormone Progesterone Could Save Men From COVID-19 Death, Study Claims     ",,None,None,2021-03-23 10:45:40,2
allohio1974," _kell: AstraZeneca may have used ""outdated information"" in the results of a large-scale COVID-19 vac trial, a U.S. health agency sai…","Ohio, USA",USA,None,2021-03-23 10:45:40,2
stipphein, : Big day today - the FLCCC Alliance Ivermectin manuscript had its expert peer-review accepted for publication! Sanity reigns…,"Cape Town, South Africa",None,None,2021-03-23 10:45:40,2
MinZaw23443379," : We should be dealing with the COVID-19 pandemic but no, dictators of the region saw the timing as an opportunity to se…",,None,None,2021-03-23 10:45:40,2
RandomGuyxoxo," : News: duque blames improper wearing of face masks, face shields for Covid-19 surge.

In other news: ",Probably Saturn or Pluto,None,None,2021-03-23 10:45:40,3
redgeo,"Facing COVID-19 outbreaks and privatization, oil workers shut down refineries in Brazil ","Scotland, United Kingdom",GBR,None,2021-03-23 10:45:40,2
seanmbarrett,"Americans gained weight after being told to stay out of public places during the COVID-19 pandemic, according to a… ","Houston, TX",US,United States,2021-03-23 10:45:41,2
renalberich, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,chez moi,None,None,2021-03-23 10:45:41,2
elisdylan,Death rates would’ve been even worse if he’d been allowed to rule us all,🏴󠁧󠁢󠁷󠁬󠁳󠁿/manchester,None,None,2021-03-23 10:45:41,2
bethyyyclyro, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,"Edinburgh, Scotland",None,None,2021-03-23 10:45:41,2
chiragjogi_GJ, : India has crossed 1 Crore milestone in COVID-19 tests with 1105 labs operational across the Nation. #IndiaFightsCorona  …,"Anand, India",IND,None,2021-03-23 10:45:42,2
pharmercologist," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…","Baltimore, MD",None,None,2021-03-23 10:45:42,3
ThirdSpaceMin," : Join us at 6pm tonight, 23rd March, as we pray together as community on Facebook live to mark a year since the start of th…",,None,None,2021-03-23 10:45:43,2
Greenald_, : friendly reminder that men who have sex with men aren’t allowed to donate blood unless they’ve been abstinent for 3 months (…,,None,None,2021-03-23 10:45:43,3
jaarapoc,*through a new supply agreement with the PRIVATE SECTOR*,"Carrington, New South Wales",None,None,2021-03-23 10:45:43,2
1057News,"UPPER CUMBERLAND AND TENNESSEE VALLEY COVID-19 REPO – MONDAY, MARCH 22, 2021 ","Crossville, TN",None,None,2021-03-23 10:45:43,2
fabianacecin, : FUN FACT FOLKS:  America’s billionaires saw their net worth increase by nearly 45% over the last 12 months while tens of…,"Blumenau, SC, Brazil",BRA,None,2021-03-23 10:45:43,2
jurisdigest,"Nigeria Records 131 New COVID-19 Infections, Total Now 161,868 ",Nigeria,None,None,2021-03-23 10:45:44,2
kashmirobserver,School Closed For 5-Days After 9 Students Test Positive For Covid-19 ,"Srinagar, Kashmir",None,None,2021-03-23 10:45:45,2
Dospueb1Rosalyn,I know right,Republic of the Philippines,None,None,2021-03-23 10:45:45,4
Chr1sR0berts, Yeah you might be right (I hope you are) but this is the 3rd Coronavirus this century (SARS, MERS,… ,"South East, England",None,2
tkenewskashmir,Cabinet approves covid-19 vaccination for all above 45 years ,"Srinagar, India",IND,None,2021-03-23 10:45:45,2
labourunionsGBR," : Starting April 01st, anyone above 45 years can get the Covid-19 vaccine. I appeal to all eligible citizens to get vaccinated an…",United Kingdom,GBR,None,2021-03-23 10:45:46,2
thetrooper9220," : Michigan has the second-highest number of cases of the COVID-19 B.1.1.7 variant in the U.S., leading some public health ex…",https://youtu.be/IrwdjrtNkuw,None,None,2021-03-23 10:45:46,2
makoto_au_japon,This is a long read but excellent and worth your time. Read it and you'll understand why I'm angry and why this gov… ,#Japan or #Genève #Geneva 🇨🇭,None,None,2021-03-23 10:45:46,3
DavidTracey18, : At 12 noon we will be marking this National #DayOfReflection by observing a minute's silence to remember and celebrate the…,"The Grove, Stockport, England",GBR,None,2021-03-23 10:45:47,2
Smitham1986," : COVID-19 - Florence Nightingale Diagrams of Deaths    In Week 10, deaths registered in England and…","Karnataka, India",IND,None,2021-03-23 10:45:47,2
alcazar_susan, : Good move by NDA. All above 45+ to get COVID-19 vaccine from April 1.,SE Michigan ,None,None,2021-03-23 10:45:48,2
melkanarek, : Vietnam may produce own Covid-19 vaccines in third quarter ,GBR,GBR,None,2021-03-23 10:45:49,2
glenn182," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",Scotland,None,None,2021-03-23 10:45:49,3
SvenVanHauwe," : Cases of, and deaths from, Covid-19 continue to fall in the State of Texas three weeks after the Governor announced the com…",,None,None,2021-03-23 10:45:49,2
GraduateHard,"On the National #DayofReflection, Croydon remembers all those who have lost their lives during the Covid-19 pandemi… ",India,IND,None,2021-03-23 10:45:49,1
makoto_au_japon, : #OneYearOn it is rare to come across a person who hasn’t suffered a Covid-19 loss. Myself included... Praying for bet…,#Japan or #Genève #Geneva 🇨🇭,None,None,2021-03-23 10:45:49,2
DGBResEducator,New U.S. COVID-19 cases show weekly uptick for first time since January ,,None,None,2021-03-23 10:45:49,2
devon_omahony," : UPDATE: Covid-19 vaccinations in South (East) Asia

#India: 45,070,000
#Indonesia: 7,880,000
#Bangladesh: 4,760,000
#Nepal: 1,60…",Ireland,None,None,2021-03-23 10:45:49,2
yourcroydon, : How Health Communications Will and Should Be Changed by Covid-19  via  #COVID19 #lockdown2021 …,"Croydon, South London",GBR,None,2021-03-23 10:45:49,2
smallypaula,"Thanks be to God!

#ADDBiblicalAnswers 
#TruthsFromTheBible 
#GlobalPrayerForHumanity",South London,GBR,None,2021-03-23 10:45:50,2
peggyodomyahoo1,"#Chipo SE2 Ep 10 is on tonight at 7:30 PM on ZBCTV. Also watch on our YouTube channel. In this episode, Covid-19 is… ",,None,None,2021-03-23 10:45:51,2
jarsagar," : Starting April 01st, anyone above 45 years can get the Covid-19 vaccine. I appeal to all eligible citizens to get vaccinated an…",Burma,None,None,2021-03-23 10:45:51,2
SuzieWarner," :  Officers deserve to expect to come home from work. Heartbreaking.

Hero 51yr old Police Officer Eric Tal…",Bath GBR,GBR,None,2021-03-23 10:45:52,2
kesobells, : We are seeing a shift in the Covid-19 trajectory in South Africa: researcher ,,None,None,2021-03-23 10:45:52,2
TheatreHarare, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,"Harare, Zimbabwe",None,None,2021-03-23 10:45:52,2
Raghavendrah91, : US federal health officials say results from a US trial of AstraZeneca’s COVID-19 vaccine may have used “outdated information…,"Tumkur / Chitradurga, Karnatak",None,None,2021-03-23 10:45:52,2
Leshasselhikes," : Kogi: Yahaya Bello collected palliatives, must accept COVID-19 vaccines - Dino Melaye - Daily Post Nigeria …",Florida,None,None,2021-03-23 10:45:53,2
men_engage," : More than a thousand Americans needlessly dying of Covid-19 , dozens more dying of gun violence and more than hundred thousand…",,None,None,2021-03-23 10:45:53,1
salmaofumado, : Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors.,,None,None,2021-03-23 10:45:54,0
EAngelPhillips3,"_Champagne    _langer  
CUMULATIVE COVID-19 VA… ",,None,None,2021-03-23 10:45:54,2
starwiz_whizboi, : Care providers say a campaign to ‘stand up’ for social care would be a fitting way to mark the first anniversary of th…,somewhere in the 🌐,None,None,2021-03-23 10:45:54,2
Buckeye_Ry, : Nature was healing and we were like lmao jk,"Columbus, OH",None,None,2021-03-23 10:45:54,2
philipvcole1, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,"Cheltenham, England",GBR,None,2021-03-23 10:45:55,2
itsmebuc," : In case you missed it, we published our 2020 Annual Report on Friday: 
It records the publication of…",,None,None,2021-03-23 10:45:55,0
OTProfBeth131," : #MEDICINEHEALTH Stay-At-Home Adults Gained Two Pounds a Month During COVID-19 Pandemic, Study …",Glasgow and Edinburgh ,None,None,2021-03-23 10:45:56,2
leomujahid1604, : Lucknow doctor tests positive after completing two-dose course of COVID-19 vaccine. I am so confused! …,,None,None,2021-03-23 10:45:57,2
The_Gay_Gatsby,News18 Evening Digest: Cabinet Approves Covid-19 Vaccinations for Those Above 45 Years From April 1 and Other Top S… ,,None,None,2021-03-23 10:45:57,2
SocSolAdvs, : AstraZeneca may have provided an incomplete view of efficacy data on its COVID-19 vaccine from a large scale trial in the Unit…,,None,None,2021-03-23 10:45:58,1
tres444, : There are now NO active cases of COVID-19 in Victoria! ,The Road Not Taken,None,None,2021-03-23 10:45:58,3
apareek621, : Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors. …,,None,None,2021-03-23 10:45:58,0
Biswaji39516992," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",India,IND,None,2021-03-23 10:45:58,3
GODS_HOAGIE, : Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors.,,None,None,2021-03-23 10:45:58,0
farm_strong," : Today marks one year since the 1st national lockdown was introduced in response to the Covid-19 pandemic.

We cannot bri…",Melbourne,AUS,None,2021-03-23 10:45:58,2
AmandaGillender, Preparation of a COVID-19 vaccine that can be given in tablet ,Herefordshire,None,None,2021-03-23 10:45:59,2
OddUnni," : Michigan has the second-highest number of cases of the COVID-19 B.1.1.7 variant in the U.S., leading some public health ex…",,None,None,2021-03-23 10:46:00,2
MOVIESTVMAD," Pakistan can be saved from COVID-19 by a complete lockdown for 15 days.
The people have to sacrifice f… ",Cyprus,None,None,2021-03-23 10:46:00,2
IrfanMohammed_,ICO Guidance On COVID-19 Workplace Testing ,"Lambeth, London",GBR,None,2021-03-23 10:46:00,2
HelpHumanity1st, : Merkel and regional leaders agree to extend Germany’s lockdown until April 18 after Covid-19 contagion rates nearly doubled…,,None,None,2021-03-23 10:46:01,4
HARENDR21921303, : FT:  Tory PM Cameron personally lobbied senior figures in the Treasury and Downing Street to secure greater access to s…,jogither,None,None,2021-03-23 10:46:01,2
NEFeghali," : It is believed that over 1,000 health and care workers have died after testing positive for COVID-19 since March 2020.…",,None,None,2021-03-23 10:46:01,1
ninaesmino, : #BiggBoss13 #ShehnaazGill #KartikAaryan #Covid19 #Canada Shehnaaz Gill wishes her crush Kartik Aaryan a speedy recovery…,ILG // MNL,None,None,2021-03-23 10:46:01,2
BEgbuchulam, : SPT will observe the one minute of silence at noon today for a moments reflection to remember those who have died during…,Nigeria,None,None,2021-03-23 10:46:01,1
DRHAAN300,US Officials Question AstraZeneca COVID-19 Vaccine Trial Results ,,None,None,2021-03-23 10:46:02,2
FaizanKhalil8," : ""Know your place pesky Celts"" - or, as Unionists say ""Family of Nations"".

There are people alive in Wales &amp; Scotland today b…",karachi,None,None,2021-03-23 10:46:02,2
PrivacyLaw_,Gambia: WHO Recommends Use of Covid-19 Astrazeneca Vaccine  ,WorldWide,None,None,2021-03-23 10:46:02,2
McphailMerritt," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…",,None,None,2021-03-23 10:46:02,3
UrsulaKretzsch, : How the COVID-19 pandemic is affecting every state: Latest updates.  ,,None,None,2021-03-23 10:46:03,2
tb_or_not_tb_GBR," : Every adult above 45, irrespective of co-morbid conditions, will now be vaccinated against COVID-19 from the 1st of April…",East Kent,None,None,2021-03-23 10:46:03,2
Ningwa_Sam, _ZA: We've partnered with  to host 3 virtual Impact Management and Measurement (IMM) Labs in 2021. Through the power…,📍🇦🇺,None,None,2021-03-23 10:46:03,2
Bell45, _Health: Germany is extending its lockdown until April 18 and calling on citizens to stay at home for five days over the Easter…,Glasgow,None,None,2021-03-23 10:46:03,2
IndependentNGR," : Liza Soberano on COVID-19 situation in the country: ""Where is the support for the poor in the country?""
…","Lagos, Nigeria",None,None,2021-03-23 10:46:03,4
lord_prefab, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,159 km2,None,None,2021-03-23 10:46:03,2
ZyiteGadgets," : Truth be told, COVID-19 took so much away from us. We smile, laugh and live through the pain just so we can go on living bu…",http://www.zyite.com/,None,None,2021-03-23 10:46:04,1
fashionReigns,DOH warns against jumpers in COVID-19 vaccination line, says vaccines should be given only to healthcare workers fo… ,United States,None,None,2
secksaddict,Requirement for Proof of Negative COVID-19 Test or Recovery from COVID-19 for All Air Passengers Arriving in the Un… ,princeton nj,None,None,2021-03-23 10:46:04,2
ParagonWorli18, : KENYA AIRWAYS reports worst-ever loss of Sh36.2bn for 2020 as revenues decline by 59pc on account of Covid-19 disruptio…,Mumbai,IND,None,2021-03-23 10:46:04,3
desiree_rsa," : AstraZeneca’s Vaccine Is found to be 79% effective in preventing symptoms of COVID-19 in a U.S. study, but 100% effective…","Johannesburg, South Africa",None,None,2021-03-23 10:46:04,2
McphailMerritt,The COVID-19 vaccines do not contain aluminum #SmartNews  ,,None,None,2021-03-23 10:46:05,2
WomanityMP,"This time last year we headed into our first lockdown. As we reflect today, we think about what our experiences hav… ",Kenya,None,None,2021-03-23 10:46:06,1
ninetiescinema,"Hindi gets ng DDS ang  power
point ni  how yowill control people to go out
to provide a stimulus packa… ",18 london,None,None,2021-03-23 10:46:06,2
Ray_Maota,"After 4 straight days of over 7,000 reported COVID-19 cases, the Philippines on Tuesday, March 23, logged 5,867 new… ",Emjipa,None,None,2021-03-23 10:46:06,3
shecrisostomo, : Navajo Nation has reported 0 new COVID-19 cases for the first time in six months!!!!!,Philippines,None,None,2021-03-23 10:46:06,2
CIECambridge,"Gambia: Gambia Records One New Covid-19 Related Death, 39 New Cases  ","900 NE 23 Ave, Homestead, FL",None,None,2021-03-23 10:46:06,2
daglaxx," _CoJ: MEDIA ADVISORY
Date: 23 March 2021
SPEAKER OF COUNCIL TESTED POSITIVE FOR COVID-19
The Speaker of Council, Cllr Nonceba Mo…",PlanetEarth,None,None,2021-03-23 10:46:07,2
AidanKe42592122,"NEWS: COVID-19 - Rochdale Infirmary marks 5,000 surgeries carried out throughout the pandemic. Read more:… ",,None,None,2021-03-23 10:46:07,2
JamieBabsLife," : BREAKING: Firm awarded £16.2m across multiple Covid-19 contracts has extensive links to the Conservatives.

Softcat Plc…",United States,USA,None,2021-03-23 10:46:08,3
Fed_IP," : So if you get tested for COVID-19 three times and are positive all three times, should it count as one positive test or…","England, United Kingdom",GBR,None,2021-03-23 10:46:08,4
LadyLizz8, : Always heartwarming to watch this government exploit a pandemic to enrich their friends and donors. …,"Abu Dhabi, United Arab Emirate",None,None,2021-03-23 10:46:08,0
rapplerdotcom," : The ""NCR Plus"" COVID-19 ""bubble"" (2021) reminds me of this scene from the Simpsons Movie (2007). ",Philippines,None,None,2021-03-23 10:46:08,2
1golfingdoc, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,,None,None,2021-03-23 10:46:08,2
ZyiteGadgets," boss,  today took lead by receiving the Covid-19 vaccine jab as the vaccination exercise was… ",http://www.zyite.com/,None,None,2021-03-23 10:46:10,2
Neli_Ngqulana," : FYI!!

The FEMA Funeral Reimbursement Program will launch in  April. FEMA is reimbursing up to $7,000.00 for COVID-19 f…","Johannesburg, South Africa",None,None,2021-03-23 10:46:10,3
NCAlliance_NHS," : Situation at The Medical City.

Hospital has declared full capacity for COVID-19 patients. All 120 beds reserved for patien…",Greater Manchester,None,None,2021-03-23 10:46:11,2
davearchibald47, : Great news! Let’s keep it up Minnesota ,"Gateshead, England",GBR,None,2021-03-23 10:46:12,0
RenovateCSRA, : The end of bodily autonomy - the end of Great Britain? ,"Augusta, GA",None,None,2021-03-23 10:46:12,3
JoeParr03641778, : Today we will think about those who have lost their life during the Covid-19 pandemic. At AfPP we will join the minute’…,,None,None,2021-03-23 10:46:12,1
itsmetiesto, : me driving to the closest covid-19 vaccine clinic so i can get my free krispy kreme donut ,63,None,None,2021-03-23 10:46:12,2
ZAKMlNAJ,U.S. health body questions AstraZeneca's COVID-19 vaccine trial data ,,None,None,2021-03-23 10:46:12,2
wadadamichael," : BREAKING: Firm awarded £16.2m across multiple Covid-19 contracts has extensive links to the Conservatives.

Softcat Plc…",Luzira,None,None,2021-03-23 10:46:12,3
DudesItsIvan," : #ShehnaazGill wishes her crush #KartikAaryan a speedy recovery after he tests Covid-19 positive.

#COVID19 #Shehnaazian ht…",Miami,USA,None,2021-03-23 10:46:12,2
honeybe02577966,Learn more and contribute at the link above - and here:,"Dubai, United Arab Emirates",None,None,2021-03-23 10:46:13,0
CoronaUpdateBot," _warmers: Mzava! 
The Malawi Captain presented an expired Covid-19 certificate and missed a flight yesterday.

He then went for anoth…",,None,None,2021-03-23 10:46:13,3
DailyDekhoNews, : No ICU Beds Available As 10 Doctors Admitted With COVID-19 – KMPDU  ,,None,None,2021-03-23 10:46:13,2
gabedreaming," _Blundell_UCL: The pandemic has affected inequalities in education, training, wages, employment and health, including how these vary b…",,None,None,2021-03-23 10:46:14,2
HurricaneLaura0, : “An Arizona man has been arrested after he cut off and held at gunpoint a caravan of National Guardsmen transporting COVID-…,,None,None,2021-03-23 10:46:14,2
hscwru," _Global: To mark World TB Day, our colleague   will be a key speaker at a special #EndTB webinar. The webinar will…","London, England",GBR,None,2021-03-23 10:46:14,2
leomujahid1604,"#Karnataka
#COVID19
#vaccine
#COVID19Vaccine
Starting April 01st, anyone above 45 years can get the Covid-19 vaccin… ",,None,None,2021-03-23 10:46:14,2
gedhurst, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,Europe,None,None,2021-03-23 10:46:14,2
lj_autumn," : Being protected from COVID-19 is the most obvious benefit of getting vaccinated, but here's another one: free doughnuts. 

Star…",Published on Amazon,None,None,2021-03-23 10:46:14,0
SoooooperSam," : You hear Brazil is getting hit hard by a Covid-19 variant? Not in Maxaranguape, in northeast Brazil that adopted #Ivermect…",,None,None,2021-03-23 10:46:15,2
BoCphzen," : If this virus exists Joe could you post or link the evidence where in the world it’s been isolated. 

There’s a reward on o…",,None,None,2021-03-23 10:46:15,2
kula_mag, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,"Brighton, England",GBR,None,2021-03-23 10:46:16,2
Shehnaazholic," : Of the available COVID-19 vaccines, only Moderna and Pfizer (both 95%) have higher efficacy than Sputnik V (91.6%). The Chin…","Punjab, India",IND,None,2021-03-23 10:46:17,2
ewhitmore,AstraZeneca vaccine results may have used 'outdated information', more states make vaccines widely available: Live… ,"ÜT: 35.100683,-106.661229",US,United States,1
MartinMpungah,"Because, you know, the shot is for your health...
And so is the donut 

PS: 77% of hospitalized cases were fr… ","Copperbelt, Zambia",None,None,2021-03-23 10:46:17,2
ninaluclv1, : I hope charlotte flair give COVID-19 a figure eight  #WWERaw #WWEThunderDome #WWEFastlane #WrestleMania #CharlotteFlai…,Kenya,None,None,2021-03-23 10:46:17,2
TheIFS," : You hear Brazil is getting hit hard by a Covid-19 variant? Not in Maxaranguape, in northeast Brazil that adopted #Ivermect…","London, GBR",GBR,None,2021-03-23 10:46:18,2
NiteniteMelissa,"Covid-19 live updates: NIH questions AstraZeneca trial data, calls it ‘incomplete’ 
By Erin Cunningham

",,None,None,2021-03-23 10:46:18,2
FChilePositivo, : Thank goodness Governor DeSantis defeated COVID-19 before tonight’s festivities in Miami Beach ,"Santiago, Chile",None,None,2021-03-23 10:46:19,2
KiranParashar21," _1: I’m Bruno Amato. I’m running for Congress to defeat Republican Kevin McCarthy, who voted AGAINST COVID-19 relief for thou…","Bengaluru, India",IND,None,2021-03-23 10:46:19,2
Chaoticag, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,,None,None,2021-03-23 10:46:20,2
MULTiVersesNews,"  Regardless, we have no choice. Unless our borders remain close for eternity. We are going t… ",an Earth among many,None,None,2021-03-23 10:46:20,2
Logan1Bill," : Spain will resume use of the Oxford-AstraZeneca Covid-19 vaccine on Wednesday, and is also raising the age limit for r…",GBR,GBR,None,2021-03-23 10:46:21,2
CarlHen10428180," : 1)AstraZeneca vaxx: NOT SO ""SAFE"" AND ""EFFECTIVE"" AFTER ALL.

2)Gee, thanks for your ""concern,"" NIAID.

3)Silicon Valle…","Sydney, New South Wales",None,None,2021-03-23 10:46:22,2
arminder_mann, : The below information is false and does not come from SASSA. The special COVID-19 SRD grant has only been extended until…,,None,None,2021-03-23 10:46:23,3
JICHOdaDOG," _pcaa Pakistan can be saved from COVID-19 by a complete lockdown for 15 days.
The people have… ",Nairobi,None,None,2021-03-23 10:46:23,2
usatodaysun21,_Bray what is the death-rate in Ireland from Cancer (with full treatment services available) vs Covid-19 ?,"California, USA",USA,None,2021-03-23 10:46:24,2
PrincessMarthaD,It's astraZeneca again ? ,"Miami Beach, FL",USA,None,2021-03-23 10:46:24,4
JT82511721," : As expected, the  domestic trade sector experienced another tough start to the new year. Much of the performance of the sect…",,None,None,2021-03-23 10:46:25,3
Teemcc2,B.C. frontline workers to be eligible for COVID-19 shot in April ,,None,None,2021-03-23 10:46:25,2
bbttychmbrs, : How the COVID-19 pandemic is affecting every state: Latest updates.  ,Houston Texas,None,None,2021-03-23 10:46:25,2
fem2828, _tarello: The Minnesota Department of Health reported 0 additional COVID-19 deaths this Monday across Minnesota... ,"Cleveland, Ohio, USA",USA,None,2021-03-23 10:46:26,2
CharlyGrace6," _1: I’m Bruno Amato. I’m running for Congress to defeat Republican Kevin McCarthy, who voted AGAINST COVID-19 relief for thou…","Vancouver, British Columbia",None,None,2021-03-23 10:46:26,2
suzebuz3, : The vaccine is 94% effective and millions of people have been given it and 3 so far have caught COVID still which out o…,zij/haar/die/hun,None,None,2021-03-23 10:46:26,2
ellisjones_p,"  Regardless, we have no choice. Unless our borders remain close for eternity. We are going t… ","Paris, France",None,None,2021-03-23 10:46:27,2
FayezNoseir," : Spain will resume use of the Oxford-AstraZeneca Covid-19 vaccine on Wednesday, and is also raising the age limit for r…","Cairo, Egypt",None,None,2021-03-23 10:46:27,2
BillSpadea," : 1)AstraZeneca vaxx: NOT SO ""SAFE"" AND ""EFFECTIVE"" AFTER ALL.

2)Gee, thanks for your ""concern,"" NIAID.

3)Silicon Valle…",Princeton NJ,None,None,2021-03-23 10:46:27,2
TinyOneGirl, : The below information is false and does not come from SASSA. The special COVID-19 SRD grant has only been extended until…,"Durban, South Africa",None,None,2021-03-23 10:46:27,3
FaizanKhalil8," _pcaa Pakistan can be saved from COVID-19 by a complete lockdown for 15 days.
The people have… ",karachi,None,None,2021-03-23 10:46:28,2
ogmaconnect1,_Bray what is the death-rate in Ireland from Cancer (with full treatment services available) vs Covid-19 ?,"Dublin City, Ireland",None,None,2021-03-23 10:46:28,2
batalaale,It's astraZeneca again ? ,Qatar ...somaliland ,None,None,2021-03-23 10:46:28,4
icjm_," : As expected, the  domestic trade sector experienced another tough start to the new year. Much of the performance of the sect…",,None,None,2021-03-23 10:46:29,3
mark14907,B.C. frontline workers to be eligible for COVID-19 shot in April ,London,GBR,None,2021-03-23 10:46:29,2
CarlEddy9896, : How the COVID-19 pandemic is affecting every state: Latest updates.  ,"England, United Kingdom",GBR,None,2021-03-23 10:46:29,2
GnomeFirst, _tarello: The Minnesota Department of Health reported 0 additional COVID-19 deaths this Monday across Minnesota... That has not hap…,Your back yard,None,None,2021-03-23 10:46:30,2
JudgeWren,One Year into the Pandemic: Implications of COVID-19 for Social Determinants of Health … ,"Fort Lauderdale, FL",US,United States,2021-03-23 10:46:31,2
theSundaily,"One year on from first lockdown, Britain grieves for Covid-19 dead ",Petaling Jaya,None,None,2021-03-23 10:46:32,2
Zeynelradio," : BREAKING: Firm awarded £16.2m across multiple Covid-19 contracts has extensive links to the Conservatives.

Softcat Plc…","London, England",GBR,None,2021-03-23 10:46:32,3
damienluviano,AstraZeneca COVID-19 Vaccine Trial Data Questioned By Safety Board ,"Salem, VA",None,None,2021-03-23 10:46:32,2
EvidenceChipad2," _zim: Plight of women with disabilities in accessing SRHS during Covid-19

#communityvoices

1374311599972945921,joestou1234,This better than COVID,Georgia",Zimbabwe Gweru,None,None,2021-03-23 10:46:32,2
HIREMAIDEA, _tx: We just announced that the Philippines has secured 7 million additional doses of our COVID-19 vaccine through a new supply…,Singapore,None,None,2021-03-23 10:46:32,0
krtmen, : #BiggBoss13 #ShehnaazGill #KartikAaryan #Covid19 #Canada Shehnaaz Gill wishes her crush Kartik Aaryan a speedy recovery…,,None,None,2021-03-23 10:46:33,2
joestou1234,"#WTF
U.S. health body questions AstraZeneca's COVID-19 vaccine trial data ","Georgia, USA",USA,None,2021-03-23 10:46:33,2
jlaurence," : More than a thousand Americans needlessly dying of Covid-19 , dozens more dying of gun violence and more than hundred thousand…",Makati, Quezon Province,None,None,1
Diwya3326, : Good move by NDA. All above 45+ to get COVID-19 vaccine from April 1.,,None,None,2021-03-23 10:46:34,2
